CDSCode,SchoolID,NCESDist,NCESSchool,StatusType,County,District,School,Street,StreetAbr,City,Zip,State,MailStreet,MailStrAbr,MailCity,MailZip,MailState,Phone,Ext,FaxNumber,WebSite,OpenDate,ClosedDate,Charter,CharterNum,FundingType,DOC,DOCType,SOC,SOCType,EdOpsCode,EdOpsName,EILCode,EILName,GSoffered,GSserved,Virtual,Magnet,YearRoundYN,FederalDFCDistrictID,Latitude,Longitude,AdmFName,AdmLName,LastUpDate,Multilingual
43693776046395,6046395,604800,464,Active,Santa Clara,Berryessa Union Elementary,Piedmont Middle,955 Piedmont Road,955 Piedmont Rd.,San Jose,95132-2820,CA,955 Piedmont Road,955 Piedmont Rd.,San Jose,95132-2820,CA,(408) 923-1945,No Data,(408) 251-2392,No Data,07/01/1959,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.390727,-121.84264,Gregory,Barnes,08/02/2024,N
43693776067177,6067177,604800,465,Active,Santa Clara,Berryessa Union Elementary,Ruskin Elementary,1401 Turlock Lane,1401 Turlock Ln.,San Jose,95132-2347,CA,1401 Turlock Lane,1401 Turlock Ln.,San Jose,95132-2347,CA,(408) 923-1950,No Data,(408) 937-4846,No Data,07/01/1969,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.400282,-121.85589,Tina,Tong Choy,08/18/2025,N
43693776068928,6068928,604800,461,Active,Santa Clara,Berryessa Union Elementary,Morrill Middle,1970 Morrill Avenue,1970 Morrill Ave.,San Jose,95132-1637,CA,1970 Morrill Avenue,1970 Morrill Ave.,San Jose,95132-1637,CA,(408) 923-1930,No Data,(408) 946-0776,No Data,07/01/1971,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.410219,-121.87111,Mya,Duong,08/18/2025,N
43693776093033,6093033,604800,466,Active,Santa Clara,Berryessa Union Elementary,Sierramont Middle,3155 Kimlee Drive,3155 Kimlee Dr.,San Jose,95132-3605,CA,3155 Kimlee Drive,3155 Kimlee Dr.,San Jose,95132-3605,CA,(408) 923-1955,No Data,(408) 729-5840,No Data,07/01/1975,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.403132,-121.85593,Chris,Mosley,08/08/2024,Y
43693776093041,6093041,604800,469,Active,Santa Clara,Berryessa Union Elementary,Vinci Park Elementary,1311 Vinci Park Way,1311 Vinci Park Way,San Jose,95131-2792,CA,1311 Vinci Park Way,1311 Vinci Park Way,San Jose,95131-2792,CA,(408) 923-1970,No Data,(408) 254-3790,No Data,07/01/1975,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.380943,-121.87333,Parisa,Nunez,02/09/2023,N
43693776095335,6095335,604800,457,Active,Santa Clara,Berryessa Union Elementary,Brooktree Elementary,1781 Olivetree Drive,1781 Olivetree Dr.,San Jose,95131-1933,CA,1781 Olivetree Drive,1781 Olivetree Dr.,San Jose,95131-1933,CA,(408) 923-1910,No Data,(408) 923-1635,No Data,07/01/1975,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.398513,-121.88005,Lakeisha,Blackshire,08/18/2025,N
43693776095343,6095343,604800,460,Active,Santa Clara,Berryessa Union Elementary,Majestic Way Elementary,1855 Majestic Way,1855 Majestic Way,San Jose,95132-1940,CA,1855 Majestic Way,1855 Majestic Way,San Jose,95132-1940,CA,(408) 923-1925,No Data,(408) 254-1315,No Data,07/01/1975,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.410648,-121.85723,Jannet,Odom,08/02/2024,N
43693776095350,6095350,604800,467,Active,Santa Clara,Berryessa Union Elementary,Summerdale Elementary,1100 Summerdale Drive,1100 Summerdale Dr.,San Jose,95132-2934,CA,1100 Summerdale Drive,1100 Summerdale Dr.,San Jose,95132-2934,CA,(408) 923-1960,No Data,(408) 937-4923,No Data,07/01/1975,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.389589,-121.85196,Samantha,Rainer,02/09/2023,N
43693850133439,0133439,607140,13993,Active,Santa Clara,Cambrian,Steindorf STEAM K-8 Magnet,3001 Ross Avenue,3001 Ross Ave.,San Jose,95124-2358,CA,3001 Ross Avenue,3001 Ross Ave.,San Jose,95124-2358,CA,(408) 377-3022,No Data,(408) 377-3093,www.cambriansd.org,08/15/2016,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,Y,N,No Data,37.266653,-121.92053,Trisha,Lee,08/20/2024,N
43693856046411,6046411,607140,650,Active,Santa Clara,Cambrian,Bagby Elementary,1840 Harris Avenue,1840 Harris Ave.,San Jose,95124-1125,CA,1840 Harris Avenue,1840 Harris Ave.,San Jose,95124-1125,CA,(408) 377-3882,No Data,(408) 377-8648,www.cambriansd.org,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.278715,-121.92193,Michael,Kretsch,02/09/2023,N
43693936046676,6046676,607200,675,Active,Santa Clara,Campbell Union,Rosemary,401 West Hamilton Avenue,401 West Hamilton Ave.,Campbell,95008-0509,CA,401 West Hamilton Avenue,401 West Hamilton Ave.,Campbell,95008-0509,CA,(408) 364-4254,No Data,(408) 341-7010,https://rosemary.campbellusd.org/,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.294331,-121.95694,Bharathi,Lakshmanan,07/22/2024,N
43694014330239,4330239,607230,8122,Active,Santa Clara,Campbell Union High,Leigh High,5210 Leigh Avenue,5210 Leigh Ave.,San Jose,95124-5616,CA,5210 Leigh Avenue,5210 Leigh Ave.,San Jose,95124-5616,CA,(408) 626-3405,No Data,(408) 265-7525,https://leigh.cuhsd.org/,07/01/1980,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,37.24331,-121.92258,Michelle,Steingart,07/10/2025,N
43694014330866,4330866,607230,8350,Active,Santa Clara,Campbell Union High,Branham High,1570 Branham Lane,1570 Branham Ln.,San Jose,95118-2201,CA,1570 Branham Lane,1570 Branham Ln.,San Jose,95118-2201,CA,(408) 626-3407,No Data,(408) 267-2676,www.branham.cuhsd.org,08/16/1999,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,37.254576,-121.89957,Beth,Silbergeld,07/01/2024,N
43694014331955,4331955,607230,665,Active,Santa Clara,Campbell Union High,Del Mar High,1224 Del Mar Avenue,1224 Del Mar Ave.,San Jose,95128-3529,CA,1224 Del Mar Avenue,1224 Del Mar Ave.,San Jose,95128-3529,CA,(408) 626-3403,No Data,(408) 295-9476,www.delmar.cuhsd.org,07/01/1980,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,37.303262,-121.9303,Diana,Nguyen,07/01/2024,N
43694014336137,4336137,607230,673,Active,Santa Clara,Campbell Union High,Prospect High,18900 Prospect Road,18900 Prospect Rd.,Saratoga,95070-3435,CA,18900 Prospect Road,18900 Prospect Rd.,Saratoga,95070-3435,CA,(408) 626-3408,No Data,(408) 973-1759,www.prospect.cuhsd.org,07/01/1980,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,37.292868,-122.00238,Markus,Autrey,02/09/2023,N
43694014338505,4338505,607230,676,Active,Santa Clara,Campbell Union High,Westmont High,4805 Westmont Avenue,4805 Westmont Ave.,Campbell,95008-5725,CA,4805 Westmont Avenue,4805 Westmont Ave.,Campbell,95008-5725,CA,(408) 626-3406,No Data,(408) 626-3626,www.westmont.cuhsd.org,07/01/1980,No Data,N,No Data,No Data,56,High School District,66,High Schools (Public),TRAD,Traditional,HS,High School,9-12,9-12,N,N,N,No Data,37.270126,-121.98595,Jason,Miller,02/09/2023,N
43694190108126,0108126,610290,11448,Active,Santa Clara,Cupertino Union,Sam H. Lawson Middle,10401 Vista Drive,10401 Vista Dr.,Cupertino,95014-2081,CA,10401 Vista Drive,10401 Vista Dr.,Cupertino,95014-2081,CA,(408) 255-7500,No Data,(408) 446-4987,No Data,08/25/2005,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.328413,-122.02677,Melissa,Maisen,08/19/2025,N
43694196046718,6046718,610290,7787,Active,Santa Clara,Cupertino Union,C. B. Eaton Elementary,20220 Suisun Drive,20220 Suisun Dr.,Cupertino,95014-4428,CA,20220 Suisun Avenue,20220 Suisun Ave.,Cupertino,95014,CA,(408) 255-2848,No Data,(408) 255-0610,No Data,08/27/1998,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.315251,-122.02619,Cynthia,Ho,02/09/2023,N
43694196046742,6046742,610290,1146,Active,Santa Clara,Cupertino Union,Chester W. Nimitz Elementary,545 East Cheyenne Drive,545 East Cheyenne Dr.,Sunnyvale,94087-4421,CA,545 East Cheyenne Drive,545 East Cheyenne Dr.,Sunnyvale,94087-4421,CA,(408) 736-2180,No Data,(408) 737-7182,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.346742,-122.03575,Yvonne,Sugimura,08/19/2025,N
43694196046759,6046759,610290,8815,Active,Santa Clara,Cupertino Union,L. P. Collins Elementary,10300 Blaney Avenue,10300 Blaney Ave.,Cupertino,95014-2332,CA,10300 Blaney Avenue,10300 Blaney Ave.,Cupertino,95014-2332,CA,(408) 252-6002,No Data,(408) 253-3142,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.318574,-122.02308,Norma,Salas,08/19/2025,N
43694196046767,6046767,610290,1127,Active,Santa Clara,Cupertino Union,Cupertino Middle,1650 South Bernardo Avenue,1650 South Bernardo Ave.,Sunnyvale,94087-5256,CA,1650 South Bernardo Avenue,1650 South Bernardo Ave.,Sunnyvale,94087-5256,CA,(408) 245-0303,No Data,(408) 732-4152,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.340131,-122.05942,Alison,Zuniga,08/19/2025,N
43694196046775,6046775,610290,4034,Active,Santa Clara,Cupertino Union,D. J. Sedgwick Elementary,19200 Phil Lane,19200 Phil Ln.,Cupertino,95014-3566,CA,19200 Phil Lane,19200 Phil Ln.,Cupertino,95014-3566,CA,(408) 252-3103,No Data,(408) 253-2213,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,P-5,K-5,N,N,N,No Data,37.316097,-122.00876,Joan,Orvick,08/21/2024,N
43694196046809,6046809,610290,1132,Active,Santa Clara,Cupertino Union,Dwight D. Eisenhower Elementary,277 Rodonovan Drive,277 Rodonovan Dr.,Santa Clara,95051-6656,CA,277 Rodonovan Drive,277 Rodonovan Dr.,Santa Clara,95051-6656,CA,(408) 248-4313,No Data,(408) 248-2063,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.329181,-121.98939,Howard,Greenfield,07/31/2023,N
43694196046841,6046841,610290,1134,Active,Santa Clara,Cupertino Union,Garden Gate Elementary,10500 Ann Arbor Avenue,10500 Ann Arbor Ave.,Cupertino,95014-1661,CA,10500 Ann Arbor Avenue,10500 Ann Arbor Ave.,Cupertino,95014-1661,CA,(408) 252-5414,No Data,(408) 996-9725,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.329659,-122.04533,Adrienne,Van Gorden,08/19/2025,N
43694196046882,6046882,610290,1142,Active,Santa Clara,Cupertino Union,Joaquin Miller Middle,6151 Rainbow Drive,6151 Rainbow Dr.,San Jose,95129-4043,CA,6151 Rainbow Drive,6151 Rainbow Dr.,San Jose,95129-4043,CA,(408) 252-3755,No Data,(408) 255-5269,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.301254,-122.0121,Anu,Iyer,07/31/2023,Y
43694196046890,6046890,610290,1138,Active,Santa Clara,Cupertino Union,John F. Kennedy Middle,821 Bubb Road,821 Bubb Rd.,Cupertino,95014-4938,CA,821 Bubb Road,821 Bubb Rd.,Cupertino,95014-4938,CA,(408) 253-1525,No Data,(408) 257-5777,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.313232,-122.05052,Gwendolyn,DeWees,07/31/2023,N
43694196046908,6046908,610290,1144,Active,Santa Clara,Cupertino Union,John Muir Elementary,6560 Hanover Drive,6560 Hanover Dr.,San Jose,95129-3832,CA,6560 Hanover Drive,6560 Hanover Dr.,San Jose,95129-3832,CA,(408) 252-5265,No Data,(408) 253-3116,No Data,07/01/1957,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.300409,-122.01946,Jonathan,Mach,08/19/2025,Y
43694196046932,6046932,610290,9356,Active,Santa Clara,Cupertino Union,Christa McAuliffe,12211 Titus Avenue,12211 Titus Ave.,Saratoga,95070-3456,CA,12211 Titus Avenue,12211 Titus Ave.,Saratoga,95070-3456,CA,(408) 253-4696,No Data,(408) 865-0684,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-8,K-8,N,N,N,No Data,37.292892,-122.00966,Mary,Alarid-Enright,08/19/2025,N
43694196046940,6046940,610290,1139,Active,Santa Clara,Cupertino Union,Abraham Lincoln Elementary,21710 McClellan Road,21710 McClellan Rd.,Cupertino,95014-4054,CA,21710 McClellan Road,21710 McClellan Rd.,Cupertino,95014-4054,CA,(408) 252-4798,No Data,(408) 865-0813,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.315469,-122.05336,Joanne,Conner,07/31/2023,N
43694196046957,6046957,610290,1153,Active,Santa Clara,Cupertino Union,Louis E. Stocklmeir Elementary,592 Dunholme Way,592 Dunholme Way,Sunnyvale,94087-3300,CA,592 Dunholme Way,592 Dunholme Way,Sunnyvale,94087-3300,CA,(408) 732-3363,No Data,(408) 738-5904,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.344802,-122.02646,Ann,Kropp,07/31/2023,N
43694196046965,6046965,610290,1128,Active,Santa Clara,Cupertino Union,Manuel De Vargas Elementary,5050 Moorpark Avenue,5050 Moorpark Ave.,San Jose,95129-2136,CA,5050 Moorpark Avenue,5050 Moorpark Ave.,San Jose,95129-2136,CA,(408) 252-0303,No Data,(408) 253-4962,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.310596,-121.99102,Kerstin,Johnson,08/21/2024,N
43694196046981,6046981,610290,1143,Active,Santa Clara,Cupertino Union,Montclaire Elementary,1160 Street Joseph Avenue,1160 St. Joseph Ave.,Los Altos,94024-6755,CA,1160 Street Joseph Avenue,1160 St. Joseph Ave.,Los Altos,94024-6755,CA,(650) 967-9388,No Data,(650) 938-0342,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.343291,-122.08241,Amy,Maiden,02/09/2023,N
43694196047005,6047005,610290,1129,Active,Santa Clara,Cupertino Union,Nelson S. Dilworth Elementary,1101 Strayer Drive,1101 Strayer Dr.,San Jose,95129-4065,CA,1101 Strayer Drive,1101 Strayer Dr.,San Jose,95129-4065,CA,(408) 253-2850,No Data,(408) 366-0743,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.306291,-122.00688,Sarah,Kurdziel,07/31/2023,N
43694196047039,6047039,610290,5406,Active,Santa Clara,Cupertino Union,Murdock-Portal Elementary,1188 Wunderlich Drive,1188 Wunderlich Dr.,San Jose,95129-3163,CA,1188 Wunderlich Drive,1188 Wunderlich Dr.,San Jose,95129-3163,CA,(408) 973-8191,No Data,(408) 973-8259,No Data,09/01/1995,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.30381,-121.99952,Alison,Luvara,02/09/2023,N
43694196047088,6047088,610290,1152,Active,Santa Clara,Cupertino Union,Stevens Creek Elementary,10300 Ainsworth Drive,10300 Ainsworth Dr.,Cupertino,95014-1099,CA,10300 Ainsworth Drive,10300 Ainsworth Dr.,Cupertino,95014-1099,CA,(408) 245-3312,No Data,(408) 245-7484,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.32731,-122.0643,Erin,Leary,08/19/2025,N
43694196047096,6047096,610290,1136,Active,Santa Clara,Cupertino Union,Warren E. Hyde Middle,19325 Bollinger Road,19325 Bollinger Rd.,Cupertino,95014-4657,CA,19325 Bollinger Road,19325 Bollinger Rd.,Cupertino,95014-4657,CA,(408) 252-6290,No Data,(408) 255-3288,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,62,Intermediate/Middle Schools (Public),TRAD,Traditional,INTMIDJR,Intermediate/Middle/Junior High,6-8,6-8,N,N,N,No Data,37.31055,-122.01172,Nick,Prychodko,08/21/2024,N
43694196047104,6047104,610290,1154,Active,Santa Clara,Cupertino Union,West Valley Elementary,1635 Belleville Way,1635 Belleville Way,Sunnyvale,94087-3926,CA,1635 Belleville Way,1635 Belleville Way,Sunnyvale,94087-3926,CA,(408) 245-0148,No Data,(408) 736-7543,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.339923,-122.06077,ChiaChing,Lin,02/09/2023,N
43694196047112,6047112,610290,1133,Active,Santa Clara,Cupertino Union,William Faria Elementary,10155 Barbara Lane,10155 Barbara Ln.,Cupertino,95014-2901,CA,10155 Barbara Lane,10155 Barbara Ln.,Cupertino,95014-2901,CA,(408) 252-0706,No Data,(408) 253-0271,No Data,07/01/1980,No Data,N,No Data,No Data,52,Elementary School District,60,Elementary Schools (Public),TRAD,Traditional,ELEM,Elementary,K-5,K-5,N,N,N,No Data,37.320669,-122.03875,Michael,Kim-Stevens,08/19/2025,N
